source_node_id,target_node_id,bridge_score,semantic_score,keyword_score,function_match,is_mapped,expert_tier,relevance,rationale,node2vec_score
aiuc_1:A001,owasp_agentic:ASI01,0.02921646746347943,0.49986741415128444,0.02929029096891652,1.0,0,None,None,None,0.33019219102589425
aiuc_1:A001,owasp_agentic:ASI02,0.019908116385911202,0.7313157393565739,0.016394551468350095,0.0,0,None,None,None,0.2814705406587409
aiuc_1:A001,owasp_agentic:ASI03,0.01978691019786912,0.5542229101101619,0.010692160626254787,1.0,0,None,None,None,0.2764710144231657
aiuc_1:A001,owasp_agentic:ASI04,0.023008849557522137,0.11758548333034018,0.009558699873955924,1.0,0,None,None,None,0.3009811596892741
aiuc_1:A001,owasp_agentic:ASI05,0.012465373961218851,0.6563724064244378,0.006423603947560548,0.0,0,None,None,None,0.23083155247066833
aiuc_1:A001,owasp_agentic:ASI06,0.049090909090909136,0.2503751029415862,0.02414562828461449,0.0,0,None,None,None,0.38279473888471993
aiuc_1:A001,owasp_agentic:ASI07,0.0,0.8470259562065809,0.0062508863549851764,0.0,0,None,None,None,0.21999917307058914
aiuc_1:A001,owasp_agentic:ASI08,0.0,0.4046516198308724,0.01722009504792716,1.0,0,None,None,None,0.2062873920224864
aiuc_1:A001,owasp_agentic:ASI09,0.026927784577723372,0.5657935853803612,0.016410423675203192,0.0,0,None,None,None,0.32857442010416593
aiuc_1:A001,owasp_agentic:ASI10,0.010752688172043015,0.414925832634674,0.006685486221726957,1.0,0,None,None,None,0.17641084381031757
aiuc_1:A002,owasp_agentic:ASI01,0.020280811232449337,0.6220164261969848,0.00758463441158327,1.0,0,None,None,None,0.3029541409002833
aiuc_1:A002,owasp_agentic:ASI02,0.04406130268199238,0.793834875207946,0.013297257082513999,0.0,0,None,None,None,0.4283924777756182
aiuc_1:A002,owasp_agentic:ASI03,0.0338983050847458,0.5541556081873671,0.0038155476923261676,1.0,0,None,None,None,0.3406291722790181
aiuc_1:A002,owasp_agentic:ASI04,0.03393665158371042,0.1377807035272525,0.0010291131439265097,1.0,0,None,None,None,0.41967124414896134
aiuc_1:A002,owasp_agentic:ASI05,0.004942339373970354,0.7691528155101266,0.010448969260702632,0.0,0,None,None,None,0.31189863988136374
aiuc_1:A002,owasp_agentic:ASI06,0.020134228187919486,0.1813662078840668,0.006165301650038831,0.0,0,None,None,None,0.3183516800782349
aiuc_1:A002,owasp_agentic:ASI07,0.0,0.6619178478041312,0.004109379844949077,0.0,0,None,None,None,0.29046968628439995
aiuc_1:A002,owasp_agentic:ASI08,0.0,0.4173648454095778,0.011295954798925473,1.0,0,None,None,None,0.27331835793454345
aiuc_1:A002,owasp_agentic:ASI09,0.024251069900142686,0.5470898979596092,0.015270598076164956,0.0,0,None,None,None,0.42422435735580183
aiuc_1:A002,owasp_agentic:ASI10,0.012569832402234648,0.38852187071147815,0.0018442001318657645,1.0,0,None,None,None,0.2498031884998299
aiuc_1:A003,owasp_agentic:ASI01,0.12045169385194483,0.6568097579762737,0.06859252438651714,1.0,0,None,None,None,0.3861638654217645
aiuc_1:A003,owasp_agentic:ASI02,0.14619883040935688,0.7757936844172115,0.09188343802098933,1.0,1,Direct,Primary,SCOPE,0.5885836687902701
aiuc_1:A003,owasp_agentic:ASI03,0.14037626628075264,0.5910180762164808,0.12086308856669194,1.0,0,None,None,None,0.45110566675209374
aiuc_1:A003,owasp_agentic:ASI04,0.08750000000000005,0.11184056446156185,0.05376485964167549,1.0,0,None,None,None,0.3413054262209787
